Eng,Chi
Sun Yuan,
Peng Yu,
Wang Wei,
Wang Yuyang,
Xiao Yu,
Yang Fudong,
Zhang Hui,
Zhao Liang,
Zheng Guogu,
Zhu Yu,
Todd James,
Aleksejs Naumovs,
Kristaps Zarins,
Alfredo Barbini,阿爾弗雷多‭ ‬巴比尼
Maya Hewitt,
MAK Ying Tung,麥影彤
YIU Chu-tung,姚柱東
Hans Bellmer,漢斯．貝墨)
Nicolas Ceccaldi,Nicolas Ceccaldi  (尼古拉斯．塞卡爾迪)
Cui Xinming,Beth Collar (貝絲．哥拿)
Patrizio Di Massimo,Cui Xinming (崔新明)
Laurent Grasso,Patrizio Di Massimo (帕特里齊奧．迪．馬西莫)
Andy Holden,Laurent Grasso (洛朗．格拉索)
Tetsumi Kudo,Andy Holden (安迪．候登)
Rachel Maclen,Tetsumi Kudo (工藤 哲巳)
Cindy Sherman,Rachel Maclean (莉曹．麥克蓮)
Superflex,Cindy Sherman (辛蒂．雪曼) 和藝術組合Superflex
Ringo Tang,
anothermountainman,又一山人
Chow Chun-fai,周俊輝
John Choy,
Henry Chu,蔡旭威
Scott Hessels,朱力行
Ho Sin-tung,史考特•赫塞爾斯
,何倩彤
,關子維
,李啟華
,邵志飛
,古希婻
,蘇慧怡
,湯馬仕•瓦立祁
,尹子聰
,余家豪
Aniwar Mamet,
Yao Jui Chung,姚瑞中
Chang Li Ren,張立人
Chen Chun Hao,陳浚豪
Chen Chin Yao,陳擎耀
Liao Chi Yu,廖祈羽
ZHOU Hongbin,
Trevor Yeung,楊沛鏗
Lee Kian Choong,
Participating artists,參展藝術家／機構（香港）：
organizations (HK):,CoLAB
CoLAB,MaD 創不同
MaD (Make a Difference),文晶瑩
Man Ching Ying,方韻芝
Phoebe,民間博物館計畫
,何國強＋胡家偉＋影行者
Vangi Fong,李曉華＋張子軒＋張蓉＋陳穎斯＋葉建邦＋羅至傑＋黎朗生
Community Museum Project,活化廳繼續工作組＆街坊
Ho Kwok Keung＋Kelvin Wu＋v-artivist,楊秀卓
Li Xia Hua＋Cheung Tsz Hin＋Cheung Yung＋Chan Wing Sze＋Yip Kin Bon＋Lo Chi Kit＋Sunday Lai,鄭炳鴻＋啟德河綠廊社區教育計畫
Woofertening community group & Kaifong,聲音掏腰包
Yeung Sau Churk,簡梁以瑚
Chang Ping Hung,
Wallace＋Kai Tak River Green Corridor Community Education Project,
