Eng,Chi
Mandy YIM,嚴明然
Cynthia Harvey,辛西婭‧哈維
Huang Lei,黃磊
Kenneth,
,劉佩雄
Yang Yun Tao,楊雲濤
María Pagés,瑪莉亞．柏希斯
Pun Siu Fai,潘少輝
Hu Xiao,胡曉
Popeye Hong,洪振宇
Mourad Merzouki,穆哈．梅祖基
Ke Zhiyong,柯志勇
Leung Kwok-shing(Premiere),梁國城(首演)
Su Shu,蘇淑
Yvette Huang,黃茹
Gabbie Chan(Devising Dancers),陳曉玲(創作舞者)
Ina Christel Johannessen,伊娜．約翰內森
Chang Chien Hao,張堅豪
Geon Hyauk Jin,全爀振
Lee Jung In,李廷仁
Nguyen Ngoc Anh,Nguyen Ngoc Anh
Henry Shum,岑智
Jacques Heim,傑奎斯 ‧ 海依姆
Cally Yip,葉麗兒
Char Hoi Yan,查海欣
Gloria Chiu,趙穎妍
Kristy Choy,蔡敏蕊
Mimi Lo,盧淑嫺
Philippe Cohen,菲利浦．科恩
Joëlle Bouvier,若埃爾．布維耶
Cai Fei,蔡飛
Ding Wei,丁偉
Helen LAI,黎海寧
Lai Tak－Wai,黎德威
Lam Po,林波
Phoebea Tsang (Contemporary Stage),曾可為（當代舞台）
Phoebea Tsang,曾可為
Law Yiu-wai,羅耀威
Zhou Peiwu,周培武
He Baoyu,和寶玉
Chan Hei Hing,陳起馨
Chan Jun,陳俊
Chong Chan Po,莊陳波
Ho Ho Fei,何皓斐
Ting Ping,丁平
Chan Siu Yuk,陳少鈺
Chow Hiu Man,周曉雯
Tong Lok,湯樂
Cheung Sau Fan,張秀芬
Lai Siu Ling Chan Shun Yee,黎少玲
Lee Pui Pui,陳順儀
Leung Hiu Lam,李佩佩
Lin Chao Jung,梁曉琳
,林昭蓉
Antonio Najarro,安東尼奧．納亞羅
Janet Wu,胡詠恩
Yu Ka－Ho,余家豪
,波里斯‧艾庫曼
Shao Weiqiu,邵未秋
Stephen Xavier,
James Yau,丘展誠
Felix Ke,柯志輝
Nataliia Bikmullina,Nataliia Bikmullina
Jimmy Wong,黃雋
Jensen Goi,倪業升
Performcrew,Performcrew
Nguyen Ngoc Anh,阮日廣
,黃翠絲
,岑智頤
,余家豪
Aki Saito,齊藤亞紀
Principal,德米特里‧謝苗諾夫
Dmitry Semionov,
Terence Kohler,泰蘭斯．科勒
,羅耀威
,黎少玲
,湯樂
,秦懿欣
,張秀芬
,譚錦池
,馮家敏
,鄺美英
,黃海蓉等十數人
,廖向民
Jiang Huaxuan,蔣華軒
Chan Man Yee Abby,
Ng Chor Guan,
Erica Boaglio,愛莉嘉．波亞里奧
Marius Petipa & Lev Ivanov,佩蒂巴及艾化李夫
ARChing Tang,鄧希正
Hu Qing Qing(Zhuhai) Tsai Po Cheng(Taipei),胡清清﹝珠海﹞
Wang Jun Jian(Xi’an),蔡博丞﹝台北﹞
Yang Zhen(Beijing),王俊建﹝西安﹞
Cao Wei(Changsha),楊朕﹝北京﹞
Wu Hai Qi(Nanjing),曹威﹝長沙﹞
Gu Jia Ni(Beijing),劉彥成﹝台北﹞
Yu Yanan,古佳妮﹝北京﹞
Wu Hui,俞亞男
Lai Ka Po(Gu,劉卿羽
,黎家寶﹝廣州﹞
,張永添
Jean Coralli,
Matthew Bourne,馬修．伯恩
,米高‧舒馬卡
Su Zihong,蘇自紅
Se Ga,色尕
Cui Tao,崔濤
Li Huijun,李惠君
Bai Ying,白瑩
