title,organization/people
PhD.,
DTR,
中國華夏文化遺產基金會,
臺灣會館,
中國兒童歌舞學會,
元朗區文藝協進會,Organization
元朗區議會,Organization
元朗大會堂,
元朗文藝協進會,Organization
元朗舞蹈團及葵青舞蹈團,Organization
香港法國文化協會 及「法國五月」藝術,Organization
香港法國文化協會 及「法國五月」藝術節,Organization
國際戲劇/劇場與教育聯盟,Organization
香港教育劇場論壇,Organization
香港小童群益會  社區文化發展中心,Organization
賽馬會創意藝術中心,
香港小童群益會  及社區文化發展中心,Organization
波蘭第十五屆國際當代舞蹈會議及表演節2008,Organization
香港藝穗會,Organization
王廷林舞蹈創作工作室,Organization
倫敦藝術大學,Organization
Shakespeare International,
香港藝術節,Organization
羅薩絲舞蹈團,Organization
伯明翰皇家芭蕾舞團,Organization
伊娃．耶珀貝恩娜佛蘭明高舞蹈團,Organization
香港演藝學院電影電視學院,Organization
黑舞士,
萊比錫芭蕾舞團 暨 萊比錫布業大廳樂團,Organization
萊比錫歌劇院合唱團及獨唱家,Organization
蕭菲．紀蓮,
艾甘．漢,
林懷民,
阿根廷南方文化交流局／布宜諾斯艾利斯探戈推廣中心及香港藝術節聯合監製,Organization
翩娜．包殊與烏珀塔爾舞蹈劇場,Organization
史圖加芭蕾舞團,Organization
匈牙利國立民族舞蹈團,Organization
瑪麗．舒娜舞蹈團,Organization
萊比錫芭蕾舞團,Organization
舞巴啦啦舞蹈團,Organization
翩娜．包殊及烏珀塔爾舞蹈劇場,Organization
安徽省歌舞劇院花鼓燈藝術團,Organization
鄭州歌舞劇院,Organization
克勞斯．奧伯邁亞  電子藝術未來實驗室,
聖彼得堡艾庫曼芭蕾舞團,Organization
米蘭史卡拉歌劇院芭蕾舞團,Organization
STRiPES,
伊比利亞舞蹈團,Organization
新世代佛蘭明高舞蹈團,Organization
栢希斯佛蘭明高舞蹈團,Organization
Sri Shakti Academy,
梅卓燕與李鎮洲舞蹈劇場,Organization
東邊舞蹈團製作 - OO合,Organization
黃大徽聯合演出,
華夏精英歌舞團,Organization
上海戲劇學院舞蹈學院,Organization
香港紫荊花舞蹈團,Organization
內蒙古民族歌舞劇院,Organization
莫斯科市立芭蕾舞團,Organization
北俄羅斯民族歌舞團,Organization
盧奇尼卡斯洛伐克民族舞蹈團,Organization
達莎．息絲舞蹈團,Organization
楊春江超視象舞蹈身體劇場,Organization
林偉源,
保羅泰勒現代舞團,Organization
廣西壯族自治區右江民族歌舞團,Organization
雲南楚雄彝族自治州民族藝術劇院歌舞團,Organization
北京舞蹈學院青年舞蹈團,Organization
英國皇家芭蕾舞團,Organization
一齊跳舞蹈團,Organization
舞映館 及 不加鎖舞踊館,
修芭娜嘉亞辛舞團  及 城市當代舞蹈團,Organization
修芭娜嘉亞辛舞團,Organization
羅蘭佩蒂,
里依拉阿達,
瑪爾切埃斯梅奈特,
貝蓮瑪雅,
奧爾嘉佩利榭度,
曼努埃爾里楠,
馬可弗洛雷斯,
普及文化創作社,Organization
奧爾嘉佩利榭度  及 里依拉阿達,
羅馬尼亞體操協會,Organization
阿加尼丹斯舞蹈團,Organization
妙思舞動與亞洲青少年芭蕾舞團,Organization
荷蘭舞蹈劇場 I,Organization
皮歇克朗淳,
謝洛姆貝爾  及 皮歇克朗淳舞蹈團,Organization
探戈堂 –香港探戈學會,Organization
探戈堂 – 香港探戈學會,Organization
廣西柳州市歌舞團,Organization
Joyce SoHo Theater,
New York,
Chan-Can-Dance Theatre,
Chen Dance Theater,
致群劇社,Organization
真証傳播,
香港管弦樂團及香港演藝學院舞蹈系,Organization
焦媛實驗劇場,Organization
舞蹈青年,Organization
7A班戲劇組,Organization
PIP一篤戲劇場節,Organization
香港演藝學院舞蹈學院,Organization
劇場組合,Organization
任白慈善基金會,
海豹劇團基金有限公司,Organization
香港中樂團有限公司,Organization
東區文藝協進會,Organization
圓玄學院社會服務部,Organization
康文署 - 藝術節辦事處,
香港藝術行政人員協會,Organization
法國勃艮第國際舞蹈錄像節,Organization
國際演藝評論家協會,Organization
廣東現代舞周,
康文署 - 娛樂節目辦事處,
澳洲聯邦舞蹈教師協會,Organization
青年廣場,
康文署,
民政事務總署 -青少年暑期活動委員會,
香港舞蹈團外展及教育部,Organization
香港學界舞蹈協會,Organization
教育局,Organization
香港演藝學院-舞蹈學院,Organization
康文署 - 文化節目組,
香港展能藝術會賽馬會共融藝術工房,Organization
形藝祭,
異色舞台藝術學院,Organization
康文署 - 觀眾拓展辦事處,
何必。館,
廣西穀舞點典舞蹈中心,Organization
工聯文化藝術促進會 －工俱舞蹈團,Organization
澳門教育暨青年局,Organization
