Year,Newly constructed id for migration,blank,1=巡迴展,location_en,location_tc,district_en,district_tc,venue_en,venue_tc,New_venue_en,New_venue_tc,site/展區簡稱,exh_venue/展場名稱,media1_en,media1_tc,media2_en,media2_tc,title_en,title_tc,title_combine,subtitle_en,subtitle_tc,start_date (dd/mm/yyyy),end_date (dd/mm/yyyy),Start_Year/首展年份,Start_Month/首展月份,permanent_exh/常設展,organizer_en,organizer_tc,co_organizer_en,co_organizer_tc,curator_en,curator_tc,participant_en,participant_tc,remark_en,remark_tc,count_exh/數量,site_count/展區數量,site_recode,space/活化空間,Media1 Code,Media2 Code,media_code/兩種媒介或以上,Venue_to_count,Venue_type_exh_count,Space_type_exh_count,Date to count,Count_exh = Date to count?,actual_exh_days/實際展期天,count_exh_day/年度展期天,adc_remarks,adc_remarks_date,,,,,,,,,,,,,,,,,,,,,,,Remarks,Remarks,Reference link,indoor/outdoor/both
1415,14150021,.,0,Local,本地,.,.,"L0 Gallery, Jockey Club Creative Arts Centre, 30 Pak Tin Street, Shek Kip Mei, Kowloon, Hong Kong",香港九龍石硤尾白田街30號 賽馬會創意藝術中心L0藝廊,,,JCCAC,L0 Gallery,Painting,繪畫,88,88,"""Lollipops: Focusing & Felt Sense in Abstract Painting: by Michelle Wing Chui Chan ""Local and/or General: Colour, space and intuition in abstract painting"" by Adrian Corke",波板糖：從心靈自覺到抽象畫—陳穎昭作品展,n.a,n.a,n.a,09/07/2014,10/07/2014,2014,7,0,Michelle Wing,陳穎昭,.,.,.,.,.,.,.,.,1,1,4,6,#REF!,,0,1,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,both
1415,14150022,.,0,Local,本地,.,.,"Shop 207, Level 2, Ocean Centre, Harbour City, Tsimshatsui",尖沙咀海港城海洋中心二階207舖,,,BUSS,Harbour City,"Chinese Painting, Calligraphy and Seal Carving",書畫篆刻,88,88,"""MEOW"" Art Exhibition by Chinese Artist Xing Chengai",中國藝術家邢誠愛作品展《喵》,n.a,n.a,n.a,10/04/2014,27/04/2014,2014,4,0,"Gallery by the Harbour, Wan Fung Art Gallery",海港城．美術館、雲峰畫苑,.,.,.,.,Xing Chengai,邢誠愛,.,.,1,1,3,88,#REF!,,0,1,1,1,1,1,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,both
1415,14150024,.,0,Local ,本地,.,.,"Hong Kong City Hall Exhibition Hall,Low Block, Edinburgh Place, Central, Hong Kong",香港中環愛丁堡廣場大會堂低座香港大會堂展覽廳,,,PA,City Hall Exhibition Hall,"Chinese Painting, Calligraphy and Seal Carving",書畫篆刻,88,88,"""Tai-Chi Aesthetics: Exhibition of Cursive Calligraphy & Painting""",太極美學書畫展覽,n.a,n.a,n.a,26/02/2015,01/03/2015,2015,2,0,Society of Cursive Calligraphy Studies,草書藝術研究社,.,.,.,.,.,.,.,.,1,1,1,88,#REF!,,0,1,1,1,1,1,4,4,"counting SYS_ID 11831 only, please delete 11843 ",,,,,,,,,,,,,,,,,,,,,,,,,,,both
1415,14150025,.,0,Local,本地,.,.,"G/F, 7B Chancery Lane, Central, Hong Kong",香港中環贊善里7B號地下,,,GAL,PubArt Gallery,Painting,繪畫,88,88,(I Am) In A Microcosm World,(我在）微賞世界中 ,n.a,n.a,n.a,04/03/2014,04/04/2014,2014,3,0,PubArt Gallery,PubArt Gallery,.,.,.,.,Jessica Cheung,張慧君,.,.,1,1,6,88,#REF!,,0,1,1,1,1,1,32,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,indoor
1415,14150026,.,0,Local,本地,.,.,"Central Atrium, Olympian City 2, 18 Hoi Ting Road, West Kowloon",香港西九龍海庭道18號奧海城二期主題中庭,,,BUSS,Olympian City 2,Painting,繪畫,88,88,‘Grandpa Grandma Silver Strand Gala’ Expressive Art Exhibition,「老爹媽銀光滙坊」表達藝術展覽,n.a,n.a,n.a,09/10/2014,22/10/2014,2014,10,0,"Sino Art, Sino Care, Art for All",信和藝術、信和友心、「全人藝動」,.,.,.,.,.,.,.,.,1,1,3,88,#REF!,,0,1,1,1,1,1,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,indoor
1415,14150027,.,0,Local,本地,.,.,"Artland Gallery, 3/F Lockhart Centre, 301-307 Lockhart Road, Wanchai, H.K.",香港灣仔洛克道301-307號洛克中心三樓藝林畫廊,,,BUSS,Artland Gallery,Painting,繪畫,88,88,“ Father and son” 2men exhibition by John Li and Jerry,“父與子”李錦華李藝研二人畫展,n.a,n.a,n.a,10/05/2014,15/05/2014,2014,5,0,.,.,.,.,.,.,.,.,.,.,1,1,3,88,#REF!,,0,1,1,1,1,1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,indoor
1415,14150028,.,0,Local,本地,.,.,"Experimental Gallery & Pao Galleries, Hong Kong Arts Centre, 2 Harbour Road, Wan Chai, Hong Kong",灣仔港灣道2號香港藝術中心3樓至5樓實驗畫廊及包氏畫廊,,,HKAC,multi,Mixed Art-Forms,綜合展,88,88,“5.5 sense”—Bachelor of Arts (Fine Art) Graduation Exhibition 2014,伍點伍感──藝術文學士畢業展2014,n.a,n.a,n.a,15/07/2014,27/07/2014,2014,7,0,"Hong Kong Art School, The Royal Melbourne Institute of Technology University",香港藝術學院、澳洲皇家墨爾本理工大學,.,.,.,.,.,.,.,.,1,2,4,88,#REF!,,1,1,1,1,1,1,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,indoor
1415,14150029,.,0,Local,本地,.,.,"H406, Hollywood, PMQ, 35 Aberdeen Street, Central",中環鴨巴甸街35號元創方 H406,,,PMQ,YC Yeung Chin,Painting,繪畫,88,88,“A to Y”,“A to Y”,n.a,n.a,n.a,01/10/2014,30/12/2014,2014,10,0,YC x Armechan,楊展 X 阿米青,.,.,.,.,.,.,.,.,1,1,4,6,#REF!,,0,1,1,1,1,1,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,indoor
1415,14150030,.,0,Local,本地,.,.,"L5, Exhibition Hall, vA!",香港視覺藝術中心五樓展覽廳,,,VA,Hong Kong Visual Art Centre Exhibition Hall,Painting,繪畫,88,88,“Art without Boundaries” Hong Kong Pure • Arts Link 2014 Exhibition,香港純美學會 2014 「藝術無彊界」美展,n.a,n.a,n.a,24/05/2014,31/05/2014,2014,5,0, Hong Kong Pure • Arts Link,香港純美學會,.,.,.,.,.,.,.,.,1,1,1,88,#REF!,,0,1,1,1,1,1,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,indoor
1415,14150031,.,0,Local,本地,.,.,"Flat A (Cockloft), Mee Lun House, No. 2-4 Mee Lun Street, Central",香港中環美輪街2號美輪樓閣樓,,,GAL,A Gallery,Painting,繪畫,88,88,“Box it up” -Solo Exhibition of Nguyen Dinh Vu,.,n.a,n.a,n.a,12/03/2015,26/03/2015,2015,3,0,A Gallery,A Gallery,.,.,.,.,Nguyen Dinh Vu,.,"Humans are hard to read. Dinh Vu tried to capture the multiple facial expressions that a person has, there are just too many. Instead, he cased them in a carton box, leaving it for the beholders to imagine and guess what it is like. Without sentiment, Dinh Vu drew boxed-up people in different scenarios that can be in millions of situations. These people can be anyone, anywhere, with all kinds of thinking. The artist offers his audiences the freedom by putting them in confinement.",.,1,1,6,88,#REF!,,0,1,1,1,1,1,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,indoor
